,year,amzn_beta,msft_beta,aapl_beta,goog_beta,ibm_beta,sony_beta,tsm_beta,nvda_beta,nok_beta
5,2004,1.5210846468317627,1.0893477150797517,1.4720088782566285,-2.874932383143579,1.135989512637883,1.1194656331034338,1.89085327621706,2.705871641492156,1.72431087739523
6,2005,1.6744015599399242,1.061381108758163,1.5416253050941888,1.797012954276881,1.2746541276653118,1.1600897209274865,2.0762797631503784,2.5714604818089577,1.6502058771069636
7,2006,1.2231777097871448,1.0283601139026868,1.5681026907485986,2.3295290101713717,1.2045232975963949,1.1564638588745484,2.1584204091083468,3.091223208848898,1.615842086773907
8,2007,1.1296902933714825,0.9590695664046404,1.5657376893304982,1.6586348580595354,1.1257905310695264,0.9544075206080659,1.8309893462131266,3.1610438509293957,1.5093355520395908
9,2008,1.5752433222572126,0.8064404219000653,1.9978376398842854,1.7555871273429282,0.9837537548610502,1.283322611115526,1.4370178572842705,3.203974354004053,1.4141080274727358
10,2009,1.228054296504595,0.827747342499372,1.806522189191811,1.3258396939612989,0.9037749571728187,1.322750129107901,0.8859852872993073,1.9858486697330484,1.2199902888233365
11,2010,1.2424267664418702,0.874430922170435,1.5900782152402861,1.2090903045414734,0.8001571855646663,1.341509966435616,0.7895219791802973,1.7135314903387124,1.2405313852017497
12,2011,1.298193106641748,0.8401816586457335,1.4481908116059328,1.157509777883898,0.7897207153992515,1.3254411459008766,0.7628889846831166,1.7661094498689531,1.2449372638478164
13,2012,1.1388546517119882,0.8422698489201754,1.4039407461760163,1.1449481277278752,0.7498904845696028,1.350365099328892,0.7592570049624969,1.6230722765138692,1.2179147234545438
14,2013,0.8986007183872028,0.9348759987493209,1.1350233483312904,1.1244817758441263,0.6896753233499254,1.547387497556995,0.7103439025876152,1.368959218024407,1.4420733429317554
15,2014,0.9623960250138279,1.0665792084716026,0.8509172279248959,1.3306203434725867,0.5410937557571737,1.8221359153795182,0.8862433422372074,1.6972496736204536,1.8066782657596567
16,2015,0.9687374246647581,1.0150590620775077,0.8621959290986861,1.2641059633320297,0.5291876551358362,1.999505232710976,0.9161334916581128,1.657376585582605,1.6108519346769692
17,2016,0.9221518913834276,1.098757828163179,1.134296822613038,1.0697769281162997,0.6533957274875358,2.010581609479843,0.9504589073050007,1.2622199983620195,1.3142696075566624
18,2017,1.119930277439906,1.1333216796402554,1.14890221758356,1.0806348066277278,0.768833928382055,1.9532268126551153,0.9684421831326487,1.4336926402463537,1.2774095895750326
19,2018,1.1872121420938095,1.0135573399848692,1.2104598032984322,0.9822244047579342,0.8486890720309144,1.4603509480794834,0.9722451187637319,1.58155169841633,0.7170654884111944
20,2019,1.14501895875567,0.8876862824414647,1.4417615264395531,0.8551263910555321,1.0719925587591592,1.1588219741422798,1.0484133835533231,2.1485527908677367,0.3067372916901117
21,2020,0.8762932093319491,0.8967331216980846,1.2751706871440025,0.9624176233620875,1.1963923932942842,0.866647676131057,0.901222440829892,1.4814286111957389,0.7149380482322528
